Restaurant_ID;Restaurant_Name;Kategorie;Beschreibung;Öffnet_Mittags;Schließt_Mittags;Öffnet_Abends;Schließt_Abends;Öffnungstage;Preiskategorie;Bewertung;Adresse;Telefon;Website;;;Tage;Preiskategorie;Bewertung
11;The Tai;Asiatisch;Authentisches thailändisches Restaurant mit heimeligem Ambiente und einem spektakulären Dekor. Nach einem langen Spaziergang um den Haidplatz herum, kann man sich in diesem Restaurant gut ausruhen bei einer wunderbaren thailändischen Küche.;geschlossen, Sa und So 11:00:00;geschlossen, Sa und So geöffnet;17:00:00;22:00:00;Di, Mi, Do, Fr, Sa, So;2-3;4;Rote Hahengasse, Haidpl. 3, 93047 Regensburg;0941 59976699;theTHAI;;;;;
12;Bodega;Spanisch;"La Bodega - Es flirrt die Luft, die Gläser klirren. Freunde und Fremde sitzen dicht aufeinander; genießen Essen, Gesellschaft und Wein. Weil man von Luft und Liebe alleine nicht leben kann, verkaufen wir Tapas. Das ist diese bekannte Kunst der kleinen Köstlichkeiten: aus dem Meer und vom Feld und vom Schwein. Gegrillt, flambiert, gehobelt, geröstet, geschwenkt und direkt mit Brot und Aioli in eure Gaumen serviert.";geschlossen;geschlossen;18:00:00;23:59:00;Di, Mi, Do, Fr, Sa, So;2;4;Von der Grieb 1a, 93047 Regensburg;0941 5840486;http://bodega-regensburg.de/;;;;;
13;Bar Ravel;Spanisch;Mediteranes spanisches Restaurant - Kosten Sie Gerichte aus der spanischen Küche. Tapas werden aus regionalen und frisch importierten Zutaten täglich mit viel Liebe zur Handarbeit zubereitet. Die Speisekarte wird von Klassikern der Tapas-Küche, wie Datteln im Speckmantel, den besten Oliven, saftigen Albondigas oder Patatas Bravas bis hin zu wechselnden Spezialitäten geschmückt.;geschlossen;geschlossen;17:00:00;02:00:00;Mo, Di, Mi, Do, Fr, Sa, So;2-3;4;D.-Martin-Luther-Straße 14, 93047 Regensburg;0941 59002;https://www.bar-ravel.de/;;;;;
14;Bolero's;Spanisch;Spanische Grill und Tapas Bar mit schöner Atmosphäre in einem Innenhof. Das Restaurant bietet viele schmackhafte Fisch- und Meeresfrüchte-Gerichte sowie freundliches und aufmerksame Personal.;geschlossen;geschlossen;17:30:00, Di 18:00:00;23:00:00;Mo, Di, Mi, Do, Fr, Sa, So;2;3;Obere Bachgasse 6, 93047 Regensburg;0178 9300432;https://boleros-tapas.de/;;;;;
15;Burgerheart;Amerikanisch;"DEIN HERZ SCHLÄGT FÜR SAFTIGE BURGER UND KNUSPRIGE FRITTEN?
 
Dann bist Du bei uns goldrichtig - willkommen im Burgerhimmel! Mitten in der Regensburger City geht’s für Deine Geschmacksnerven rund: In der Schwarze-Bären-Straße unweit der Donau erwarten Dich nicht nur die besten Burger der Stadt, sondern auch unser unfassbar saftiges BBQ, knackig-frische Salate, ausgefallene Drinks und zum Träumen leckere Desserts - alles serviert von unserem gut gelaunten Team der Burgerheart-Family.";11:30:00;geöffnet;geöffnet;22:00:00;Mo, Di, Mi, Do, Fr, Sa, So;2;4,5;Schwarze-Bären-Straße 10, 93047 Regensburg;0941 46627330;https://regensburg.burgerheart.com/;;;;;
16;Taverna Stefanos;Griechisch;Die Teverna Stefanos heißt Sie herzlich Willkommen und ladet Sie zu kulinarischen Spezialitäten aus der griechischen Heimat ein. Machen Sie in diesem Restaurant eine Pause von Ihrem Alltag. Wir freuen uns auf Sie!;11:00:00;14:00:00;17:00:00;23:00:00;Di, Mi, Do, Fr, Sa, So;2-3;4;Ostengasse 16, 93055, Regensburg;0941 78039810;http://www.taverna-stefanos.de/;;;;;
17;Papageno;Italienisch;Herzlich Willkommen im Papageno! Genießen Sie die mediterane Küche - leckeres und frisches Essen á la bella Italia. Unser freundliches und zuvorkommendes Personal freut sich bereits auf Sie.;geschlossen;geschlossen;17:30:00;00:00:00;Mo, Di, Mi, Do, Fr, Sa, So;2-3;4;Keplerstraße 14, 93047, Regensburg;0941 6308165;http://www.papageno-regensburg.de/;;;;;
18;Hofbräuhaus;Bayerisch;Das Hofbräuhaus gehört zu den schönsten historischen Wirtshäusern in der Oberpfalz. Es wartet Sie bayrische Spezialitäten und das Münchner Hofbräu-Bier. Regionalität und Frische sind für die hausgemachten Gerichte die Basis. Viele Gäste schätzen die besonderen Gerichte, die es nur noch selten in Wirtshäusern gibt. Dazu zählen Gerichte wie z. B. Herz vom Rost, Leber sauer oder der beliebte Geheimtipp das Hofbräuhaus-Tatar. Die Speisen sind saisonal, sowie die „gekrönten“ Hofbräu-Biere die aus den Zapfhähnen des Hofbräuhauses fließen.;10:00:00;geöffnet, So 15:00:00;geöffnet;22:00:00;Mo, Di, Mi, Do, Fr, Sa, So;2;4;Waaggäßchen 1, 93047 Regensburg ;0941 51280;https://www.hofbraeuhaus-regensburg.de/de/;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
